날짜,카테고리,키워드,월간검색량,블로그문서수,포화도,상위노출
2026-01-04 02:01,증권/주식,고려아연주가,253800,49698,0.2,🟢 매우쉬움
2026-01-04 02:01,증권/주식,유한양행주가,235500,50499,0.21,🟢 매우쉬움
2026-01-04 02:01,증권/주식,제주반도체주가,230400,49505,0.21,🟢 매우쉬움
2026-01-04 02:01,증권/주식,하이닉스주가,1879000,404366,0.22,🟢 매우쉬움
2026-01-04 02:01,증권/주식,HLB주가,244500,55124,0.23,🟢 매우쉬움
2026-01-04 02:01,증권/주식,한국항공우주주가,209750,49103,0.23,🟢 매우쉬움
2026-01-04 02:01,증권/주식,삼성SDI주가,630300,151392,0.24,🟢 매우쉬움
2026-01-04 02:01,증권/주식,대한항공주가,298400,77333,0.26,🟢 매우쉬움
2026-01-04 02:01,증권/주식,셀트리온주가,538500,149002,0.28,🟢 매우쉬움
2026-01-04 02:01,증권/주식,삼성물산주가,249640,74931,0.3,🟢 매우쉬움
2026-01-04 02:01,증권/주식,현대중공업주가,317710,99292,0.31,🟢 매우쉬움
2026-01-04 02:01,증권/주식,기아차주가,232730,73394,0.32,🟢 매우쉬움
2026-01-04 02:01,증권/주식,현대모비스주가,234600,80587,0.34,🟢 매우쉬움
2026-01-04 02:01,증권/주식,SK하이닉스,2436100,859772,0.35,🟢 매우쉬움
2026-01-04 02:01,증권/주식,하이브주가,208700,73028,0.35,🟢 매우쉬움
2026-01-04 02:01,증권/주식,에코프로비엠주가,289100,105875,0.37,🟢 매우쉬움
2026-01-04 02:01,증권/주식,한화시스템주가,312600,127059,0.41,🟢 매우쉬움
2026-01-04 02:01,증권/주식,현대차주가,874300,370633,0.42,🟢 매우쉬움
2026-01-04 02:01,증권/주식,테슬라주가,1215000,529539,0.44,🟢 매우쉬움
2026-01-04 02:01,증권/주식,쿠팡주가,244100,108762,0.45,🟢 매우쉬움
2026-01-04 02:01,증권/주식,도지코인,318500,149966,0.47,🟢 매우쉬움
2026-01-04 02:01,증권/주식,엔비디아주가,844600,432861,0.51,🟡 쉬움
2026-01-04 02:01,증권/주식,카카오주가,793300,410756,0.52,🟡 쉬움
2026-01-04 02:01,증권/주식,솔라나,227400,137369,0.6,🟡 쉬움
2026-01-04 02:01,증권/주식,미국증시,2654200,1732161,0.65,🟡 쉬움
2026-01-04 02:01,증권/주식,코스피지수,1386400,914186,0.66,🟡 쉬움
2026-01-04 02:01,증권/주식,삼성바이오로직스,301700,202970,0.67,🟡 쉬움
2026-01-04 02:01,증권/주식,다우지수,646600,584664,0.9,🟡 쉬움
2026-01-04 02:01,증권/주식,이더리움,750200,718392,0.96,🟡 쉬움
2026-01-04 02:01,증권/주식,나스닥,1313000,1304853,0.99,🟡 쉬움
2026-01-04 02:01,증권/주식,유럽증시,464850,531440,1.14,🟠 보통
2026-01-04 02:01,증권/주식,달러,2499500,3514381,1.41,🟠 보통
2026-01-04 02:01,증권/주식,나스닥100,231300,366347,1.58,🔴 어려움
2026-01-04 02:01,증권/주식,구글주가,198700,323870,1.63,🔴 어려움
2026-01-04 02:01,증권/주식,코인시세,250600,426296,1.7,🔴 어려움
2026-01-04 02:01,증권/주식,내일배움카드,232700,474601,2.04,🔴 어려움
2026-01-04 02:01,증권/주식,뉴욕증시,292100,631955,2.16,🔴 어려움
2026-01-04 02:01,증권/주식,S&P500,430600,970773,2.25,🔴 어려움
2026-01-04 02:01,증권/주식,NAVER주가,231100,615283,2.66,🔴 어려움
2026-01-04 02:01,증권/주식,삼성전자주식,350690,935710,2.67,🔴 어려움
2026-01-04 02:01,증권/주식,코스닥,601400,1645332,2.74,🔴 어려움
2026-01-04 02:01,증권/주식,주가지수,521000,1475579,2.83,🔴 어려움
2026-01-04 02:01,증권/주식,나스닥지수,267700,756634,2.83,🔴 어려움
2026-01-04 02:01,증권/주식,주요증시,313530,948961,3.03,🔴 어려움
2026-01-04 02:01,증권/주식,국내증시,329700,1091085,3.31,🔴 어려움
2026-01-04 02:01,증권/주식,네이버주식,205500,843716,4.11,🔴 어려움
2026-01-04 02:01,증권/주식,증시,595700,2619069,4.4,🔴 어려움
2026-01-04 02:01,증권/주식,증권,452300,4869850,10.77,🔴 어려움
2026-01-04 02:02,부동산,여의대방더마크원,8070,1353,0.17,🟢 매우쉬움
2026-01-04 02:02,부동산,잠실르엘,99400,24278,0.24,🟢 매우쉬움
2026-01-04 02:02,부동산,디스코부동산,36900,14181,0.38,🟢 매우쉬움
2026-01-04 02:02,부동산,신생아특례대출,139800,57925,0.41,🟢 매우쉬움
2026-01-04 02:02,부동산,국립소방병원,38800,18445,0.48,🟢 매우쉬움
2026-01-04 02:02,부동산,서울숲힐스테이트,10240,5379,0.53,🟡 쉬움
2026-01-04 02:02,부동산,제천자이더스카이,6840,3766,0.55,🟡 쉬움
2026-01-04 02:02,부동산,상도노빌리티,6860,6136,0.89,🟡 쉬움
2026-01-04 02:02,부동산,보라매SK뷰,8510,12834,1.51,🔴 어려움
2026-01-04 02:02,부동산,위례지웰푸르지오,6790,10300,1.52,🔴 어려움
2026-01-04 02:02,부동산,시골집매매,7970,14525,1.82,🔴 어려움
2026-01-04 02:02,부동산,부동산실거래가조회,58200,108531,1.86,🔴 어려움
2026-01-04 02:02,부동산,래미안안양메가트리아,7260,16709,2.3,🔴 어려움
2026-01-04 02:02,부동산,성북1구역,8790,22554,2.57,🔴 어려움
2026-01-04 02:02,부동산,흑석자이,10410,26923,2.59,🔴 어려움
2026-01-04 02:02,부동산,관악현대아파트,8670,30147,3.48,🔴 어려움
2026-01-04 02:02,부동산,아파트실거래가조회,28700,104234,3.63,🔴 어려움
2026-01-04 02:02,부동산,대법원경매,109100,430066,3.94,🔴 어려움
2026-01-04 02:02,부동산,청량리역,81010,477651,5.9,🔴 어려움
2026-01-04 02:02,부동산,대법원경매정보,44800,279370,6.24,🔴 어려움
2026-01-04 02:02,부동산,법원경매정보,16100,111607,6.93,🔴 어려움
2026-01-04 02:02,부동산,상도역,8680,61403,7.07,🔴 어려움
2026-01-04 02:02,부동산,신혼희망타운,10120,87023,8.6,🔴 어려움
2026-01-04 02:02,부동산,부평역,47080,411272,8.74,🔴 어려움
2026-01-04 02:02,부동산,송파헬리오시티,9900,104039,10.51,🔴 어려움
2026-01-04 02:02,부동산,3기신도시,21090,238093,11.29,🔴 어려움
2026-01-04 02:02,부동산,양우내안애,7660,87180,11.38,🔴 어려움
2026-01-04 02:02,부동산,법원경매,118900,1755003,14.76,🔴 어려움
2026-01-04 02:02,부동산,서울아파트매매,23150,349602,15.1,🔴 어려움
2026-01-04 02:02,부동산,부동산경매사이트,10250,159662,15.58,🔴 어려움
2026-01-04 02:02,부동산,경매사건검색,17230,272716,15.83,🔴 어려움
2026-01-04 02:02,부동산,모아타운,14140,227603,16.1,🔴 어려움
2026-01-04 02:02,부동산,부동산,1155700,20510793,17.75,🔴 어려움
2026-01-04 02:02,부동산,아파트실거래가,44700,869831,19.46,🔴 어려움
2026-01-04 02:02,부동산,경매사이트,25800,505240,19.58,🔴 어려움
2026-01-04 02:02,부동산,무순위청약,6350,127960,20.15,🔴 어려움
2026-01-04 02:02,부동산,법원경매사이트,6540,181644,27.77,🔴 어려움
2026-01-04 02:02,부동산,아파트매매,40480,1175367,29.04,🔴 어려움
2026-01-04 02:02,부동산,신혼부부특별공급,7110,216287,30.42,🔴 어려움
2026-01-04 02:02,부동산,단기임대,18840,582013,30.89,🔴 어려움
2026-01-04 02:02,부동산,청약홈페이지,9340,328289,35.15,🔴 어려움
2026-01-04 02:02,부동산,부동산매물,7940,280988,35.39,🔴 어려움
2026-01-04 02:02,부동산,도시형생활주택,8130,289258,35.58,🔴 어려움
2026-01-04 02:02,부동산,사무실인테리어,7840,292609,37.32,🔴 어려움
2026-01-04 02:02,부동산,주택청약,38100,1595269,41.87,🔴 어려움
2026-01-04 02:02,부동산,타운하우스,10560,507024,48.01,🔴 어려움
2026-01-04 02:02,부동산,서울청약일정,6190,300831,48.6,🔴 어려움
2026-01-04 02:02,부동산,잠실아파트,11390,568457,49.91,🔴 어려움
2026-01-04 02:02,부동산,청약,56200,3231309,57.5,🔴 어려움
2026-01-04 02:02,부동산,중고거래사이트,6630,383869,57.9,🔴 어려움
2026-01-04 02:02,부동산,청약일정,14690,976153,66.45,🔴 어려움
2026-01-04 02:02,부동산,서울집값,12880,907361,70.45,🔴 어려움
2026-01-04 02:02,부동산,부동산매매,7380,545357,73.9,🔴 어려움
2026-01-04 02:02,부동산,경매,65600,5965038,90.93,🔴 어려움
2026-01-04 02:02,부동산,아파트경매,14880,1417139,95.24,🔴 어려움
2026-01-04 02:02,부동산,주택청약1순위조건,10390,1067705,102.76,🔴 어려움
2026-01-04 02:02,부동산,빌라매매,11210,1328703,118.53,🔴 어려움
2026-01-04 02:02,부동산,지역주택조합,6290,746029,118.61,🔴 어려움
2026-01-04 02:02,부동산,실거래가,9220,1124318,121.94,🔴 어려움
2026-01-04 02:02,부동산,전원주택,12690,1990398,156.85,🔴 어려움
2026-01-04 02:02,부동산,서울청약,6130,990582,161.6,🔴 어려움
2026-01-04 02:02,부동산,오피스텔,30200,4994559,165.38,🔴 어려움
2026-01-04 02:02,부동산,원룸,28620,5401915,188.75,🔴 어려움
2026-01-04 02:02,부동산,아파트시세,14480,2980442,205.83,🔴 어려움
2026-01-04 02:02,부동산,상가임대,12220,2699953,220.95,🔴 어려움
2026-01-04 02:02,부동산,월세,27730,6677602,240.81,🔴 어려움
2026-01-04 02:02,부동산,임대주택,14240,3765567,264.44,🔴 어려움
2026-01-04 02:02,부동산,단독주택,10260,2727543,265.84,🔴 어려움
2026-01-04 02:02,부동산,전세,27980,7457950,266.55,🔴 어려움
2026-01-04 02:02,부동산,서울아파트,17550,6519384,371.47,🔴 어려움
2026-01-04 02:02,부동산,아파트분양,10830,4177703,385.75,🔴 어려움
2026-01-04 02:02,부동산,아파트전세,8760,3565415,407.01,🔴 어려움
2026-01-04 02:02,부동산,PF,6090,2725638,447.56,🔴 어려움
2026-01-04 02:02,부동산,물건경매,7950,3619966,455.34,🔴 어려움
2026-01-04 02:02,부동산,주택매매,6580,4043186,614.47,🔴 어려움
2026-01-04 02:02,부동산,아파트,49660,33889980,682.44,🔴 어려움
2026-01-04 02:02,부동산,빌라,9380,7155386,762.83,🔴 어려움
2026-01-04 02:02,부동산,분양,10950,9583123,875.17,🔴 어려움
2026-01-04 02:02,부동산,매매,13670,14105499,1031.86,🔴 어려움
2026-01-04 02:02,부동산,건설,7200,10420119,1447.24,🔴 어려움
2026-01-04 02:04,금융,환율조회,988000,15274,0.02,🟢 매우쉬움
2026-01-04 02:04,금융,대출계산기,489600,8215,0.02,🟢 매우쉬움
2026-01-04 02:04,금융,대출이자계산기,362100,5866,0.02,🟢 매우쉬움
2026-01-04 02:04,금융,코덱스200,105400,3911,0.04,🟢 매우쉬움
2026-01-04 02:04,금융,삼성전자주가,13310900,816252,0.06,🟢 매우쉬움
2026-01-04 02:04,금융,삼성중공업주가,1426700,82553,0.06,🟢 매우쉬움
2026-01-04 02:04,금융,삼성전자우주가,497000,34298,0.07,🟢 매우쉬움
2026-01-04 02:04,금융,적금계산기,248200,23382,0.09,🟢 매우쉬움
2026-01-04 02:04,금융,현대해상고객센터,196700,20632,0.1,🟢 매우쉬움
2026-01-04 02:04,금융,예금이자계산기,145800,15626,0.11,🟢 매우쉬움
2026-01-04 02:04,금융,환율,24052700,3267506,0.14,🟢 매우쉬움
2026-01-04 02:04,금융,종합주가지수,335000,50830,0.15,🟢 매우쉬움
2026-01-04 02:04,금융,나스닥선물,1686600,307791,0.18,🟢 매우쉬움
2026-01-04 02:04,금융,에이피알주가,145730,25789,0.18,🟢 매우쉬움
2026-01-04 02:04,금융,부가세계산기,123000,21775,0.18,🟢 매우쉬움
2026-01-04 02:04,금융,유로환율,1003100,206588,0.21,🟢 매우쉬움
2026-01-04 02:04,금융,이자계산기,325600,72016,0.22,🟢 매우쉬움
2026-01-04 02:04,금융,루닛주가,96390,23567,0.24,🟢 매우쉬움
2026-01-04 02:04,금융,달러환율,5217700,1313384,0.25,🟢 매우쉬움
2026-01-04 02:04,금융,청년도약계좌,280600,81537,0.29,🟢 매우쉬움
2026-01-04 02:04,금융,에이치엘비주가,76700,23473,0.31,🟢 매우쉬움
2026-01-04 02:04,금융,엔화,1986700,649834,0.33,🟢 매우쉬움
2026-01-04 02:04,금융,캐나다환율,328900,117371,0.36,🟢 매우쉬움
2026-01-04 02:04,금융,하나카드,437100,170254,0.39,🟢 매우쉬움
2026-01-04 02:04,금융,현대차주가,874300,370633,0.42,🟢 매우쉬움
2026-01-04 02:04,금융,테슬라주가,1215000,529539,0.44,🟢 매우쉬움
2026-01-04 02:04,금융,IRP계좌개설,79500,38391,0.48,🟢 매우쉬움
2026-01-04 02:04,금융,트레이딩뷰,83200,41003,0.49,🟢 매우쉬움
2026-01-04 02:04,금융,파킹통장,187300,95857,0.51,🟡 쉬움
2026-01-04 02:04,금융,일본환율,1278500,660858,0.52,🟡 쉬움
2026-01-04 02:04,금융,삼성바이오로직스주가,145620,87862,0.6,🟡 쉬움
2026-01-04 02:04,금융,코스피지수,1386400,914187,0.66,🟡 쉬움
2026-01-04 02:04,금융,현대해상다이렉트,108300,78475,0.72,🟡 쉬움
2026-01-04 02:04,금융,현대해상,553500,419909,0.76,🟡 쉬움
2026-01-04 02:04,금융,신한은행,1317400,1047278,0.79,🟡 쉬움
2026-01-04 02:04,금융,KODEX200,96500,77178,0.8,🟡 쉬움
2026-01-04 02:04,금융,나스닥,1313000,1304854,0.99,🟡 쉬움
2026-01-04 02:04,금융,이노시톨,95600,96172,1.01,🟠 보통
2026-01-04 02:04,금융,중국환율,586400,752730,1.28,🟠 보통
2026-01-04 02:04,금융,LG화학주가,106650,146299,1.37,🟠 보통
2026-01-04 02:04,금융,코스피200,170700,252852,1.48,🟠 보통
2026-01-04 02:04,금융,소상공인정책자금,183000,272850,1.49,🟠 보통
2026-01-04 02:04,금융,나스닥100,231300,366347,1.58,🔴 어려움
2026-01-04 02:04,금융,구글주가,198700,323870,1.63,🔴 어려움
2026-01-04 02:04,금융,저축은행예금,189200,323142,1.71,🔴 어려움
2026-01-04 02:04,금융,CMA,92200,182989,1.98,🔴 어려움
2026-01-04 02:04,금융,음식물처리기,132800,269102,2.03,🔴 어려움
2026-01-04 02:04,금융,내일배움카드,232700,474601,2.04,🔴 어려움
2026-01-04 02:04,금융,뉴욕증시,292100,631955,2.16,🔴 어려움
2026-01-04 02:04,금융,S&P500,430600,970775,2.25,🔴 어려움
2026-01-04 02:04,금융,국민취업지원제도,113400,275426,2.43,🔴 어려움
2026-01-04 02:04,금융,코스닥,601400,1645334,2.74,🔴 어려움
2026-01-04 02:04,금융,주가지수,521000,1475581,2.83,🔴 어려움
2026-01-04 02:04,금융,나스닥지수,267700,756634,2.83,🔴 어려움
2026-01-04 02:04,금융,국내증시,329700,1091085,3.31,🔴 어려움
2026-01-04 02:04,금융,크리스마스선물,333800,1140333,3.42,🔴 어려움
2026-01-04 02:04,금융,공모주일정,80800,280721,3.47,🔴 어려움
2026-01-04 02:04,금융,연금저축,109000,389509,3.57,🔴 어려움
2026-01-04 02:04,금융,애플주가,138700,506889,3.65,🔴 어려움
2026-01-04 02:04,금융,증시,595700,2619069,4.4,🔴 어려움
2026-01-04 02:04,금융,베이비페어,76400,361859,4.74,🔴 어려움
2026-01-04 02:04,금융,소상공인지원금,71900,396765,5.52,🔴 어려움
2026-01-04 02:04,금융,예금금리,128100,723047,5.64,🔴 어려움
2026-01-04 02:04,금융,공모주,147500,930173,6.31,🔴 어려움
2026-01-04 02:04,금융,주택담보대출,144900,1325808,9.15,🔴 어려움
2026-01-04 02:04,금융,적금,141300,1396281,9.88,🔴 어려움
2026-01-04 02:04,금융,증권,452300,4869850,10.77,🔴 어려움
2026-01-04 02:04,금융,국채금리,75700,841566,11.12,🔴 어려움
2026-01-04 02:04,금융,환율전망,70500,823711,11.68,🔴 어려움
2026-01-04 02:04,금융,설날,197100,2599453,13.19,🔴 어려움
2026-01-04 02:04,금융,삼성주가,100120,1328726,13.27,🔴 어려움
2026-01-04 02:04,금융,예금,133900,1862551,13.91,🔴 어려움
2026-01-04 02:04,금융,미국금리,163000,2398136,14.71,🔴 어려움
2026-01-04 02:04,금융,집들이선물,100200,1664637,16.61,🔴 어려움
2026-01-04 02:04,금융,갈비탕,101070,1686881,16.69,🔴 어려움
2026-01-04 02:04,금융,꽃다발,121800,3906268,32.07,🔴 어려움
2026-01-04 02:04,금융,건강보험,118000,4640155,39.32,🔴 어려움
2026-01-04 02:04,금융,금리,126400,7229382,57.19,🔴 어려움
2026-01-04 02:04,금융,대출,91700,10096528,110.1,🔴 어려움
2026-01-04 02:04,금융,은행,86110,17013863,197.58,🔴 어려움
2026-01-04 02:05,자동차,셀토스풀체인지,188200,9779,0.05,🟢 매우쉬움
2026-01-04 02:05,자동차,EV5,136900,12256,0.09,🟢 매우쉬움
2026-01-04 02:05,자동차,GV90,82100,17537,0.21,🟢 매우쉬움
2026-01-04 02:05,자동차,셀토스,516800,170300,0.33,🟢 매우쉬움
2026-01-04 02:05,자동차,두산퓨얼셀,169100,58087,0.34,🟢 매우쉬움
2026-01-04 02:05,자동차,테슬라모델Y,358500,147526,0.41,🟢 매우쉬움
2026-01-04 02:05,자동차,포르쉐타이칸,73520,32550,0.44,🟢 매우쉬움
2026-01-04 02:05,자동차,볼보XC60,73800,38445,0.52,🟡 쉬움
2026-01-04 02:05,자동차,EV9,97200,51212,0.53,🟡 쉬움
2026-01-04 02:05,자동차,K8하이브리드,68000,35961,0.53,🟡 쉬움
2026-01-04 02:05,자동차,렉서스ES300H,86200,47605,0.55,🟡 쉬움
2026-01-04 02:05,자동차,펠리세이드,185500,107589,0.58,🟡 쉬움
2026-01-04 02:05,자동차,폴스타,74000,43640,0.59,🟡 쉬움
2026-01-04 02:05,자동차,GV70,223500,141905,0.63,🟡 쉬움
2026-01-04 02:05,자동차,BMW5시리즈,92700,59047,0.64,🟡 쉬움
2026-01-04 02:05,자동차,셀토스하이브리드,86400,56145,0.65,🟡 쉬움
2026-01-04 02:05,자동차,BYD,178000,127713,0.72,🟡 쉬움
2026-01-04 02:05,자동차,테슬라모델X,105400,84314,0.8,🟡 쉬움
2026-01-04 02:05,자동차,테슬라FSD,64700,59024,0.91,🟡 쉬움
2026-01-04 02:05,자동차,테슬라,1650300,1595060,0.97,🟡 쉬움
2026-01-04 02:05,자동차,EV6,116000,115949,1.0,🟡 쉬움
2026-01-04 02:05,자동차,BYD전기차,86800,86438,1.0,🟡 쉬움
2026-01-04 02:05,자동차,코나하이브리드,61990,62567,1.01,🟠 보통
2026-01-04 02:05,자동차,BMWX7,64400,66516,1.03,🟠 보통
2026-01-04 02:05,자동차,제네시스GV70,109100,117165,1.07,🟠 보통
2026-01-04 02:05,자동차,K8,119900,147842,1.23,🟠 보통
2026-01-04 02:05,자동차,자동차검사소,68800,85648,1.24,🟠 보통
2026-01-04 02:05,자동차,테슬라모델3,103200,133442,1.29,🟠 보통
2026-01-04 02:05,자동차,아반떼CN7,67710,88877,1.31,🟠 보통
2026-01-04 02:05,자동차,니로하이브리드,75100,114209,1.52,🔴 어려움
2026-01-04 02:05,자동차,제네시스GV80,97100,159403,1.64,🔴 어려움
2026-01-04 02:05,자동차,스타리아,90000,149378,1.66,🔴 어려움
2026-01-04 02:05,자동차,아이오닉5,132500,222540,1.68,🔴 어려움
2026-01-04 02:05,자동차,포르쉐카이엔,87000,146945,1.69,🔴 어려움
2026-01-04 02:05,자동차,아이오닉6,83800,142757,1.7,🔴 어려움
2026-01-04 02:05,자동차,제네시스G80,182800,319489,1.75,🔴 어려움
2026-01-04 02:05,자동차,르노코리아,69400,121959,1.76,🔴 어려움
2026-01-04 02:05,자동차,카니발하이브리드,105300,193391,1.84,🔴 어려움
2026-01-04 02:05,자동차,스포티지하이브리드,90200,167964,1.86,🔴 어려움
2026-01-04 02:05,자동차,팰리세이드,138500,271943,1.96,🔴 어려움
2026-01-04 02:05,자동차,현대차,765100,1507350,1.97,🔴 어려움
2026-01-04 02:05,자동차,BMWX3,92200,202299,2.19,🔴 어려움
2026-01-04 02:05,자동차,중고차매매사이트,83600,192148,2.3,🔴 어려움
2026-01-04 02:05,자동차,G80,166200,387147,2.33,🔴 어려움
2026-01-04 02:05,자동차,BMWX5,88900,241032,2.71,🔴 어려움
2026-01-04 02:05,자동차,G70,68900,187460,2.72,🔴 어려움
2026-01-04 02:05,자동차,투싼하이브리드,59140,161371,2.73,🔴 어려움
2026-01-04 02:05,자동차,무쏘,67000,184148,2.75,🔴 어려움
2026-01-04 02:05,자동차,스포티지,283000,781751,2.76,🔴 어려움
2026-01-04 02:05,자동차,그랜저하이브리드,90000,254892,2.83,🔴 어려움
2026-01-04 02:05,자동차,벤츠E클래스,131200,388083,2.96,🔴 어려움
2026-01-04 02:05,자동차,렉서스,155500,519256,3.34,🔴 어려움
2026-01-04 02:05,자동차,모델Y,94700,334878,3.54,🔴 어려움
2026-01-04 02:05,자동차,기아차,139700,529812,3.79,🔴 어려움
2026-01-04 02:05,자동차,포르쉐,197800,766303,3.87,🔴 어려움
2026-01-04 02:05,자동차,한국타이어,111600,440579,3.95,🔴 어려움
2026-01-04 02:05,자동차,람보르기니,68700,275731,4.01,🔴 어려움
2026-01-04 02:05,자동차,투싼,158400,676592,4.27,🔴 어려움
2026-01-04 02:05,자동차,전기차보조금,77400,342288,4.42,🔴 어려움
2026-01-04 02:05,자동차,아반떼,241900,1142411,4.72,🔴 어려움
2026-01-04 02:05,자동차,그랜저,242800,1318551,5.43,🔴 어려움
2026-01-04 02:05,자동차,K9,67000,379684,5.67,🔴 어려움
2026-01-04 02:05,자동차,볼보,93500,621188,6.64,🔴 어려움
2026-01-04 02:05,자동차,LS,92500,659247,7.13,🔴 어려움
2026-01-04 02:05,자동차,K5,113300,901373,7.96,🔴 어려움
2026-01-04 02:05,자동차,카니발,176400,1524651,8.64,🔴 어려움
2026-01-04 02:05,자동차,쉐보레,106000,1009783,9.53,🔴 어려움
2026-01-04 02:05,자동차,소나타,109300,1056985,9.67,🔴 어려움
2026-01-04 02:05,자동차,쏘나타,62900,629914,10.01,🔴 어려움
2026-01-04 02:05,자동차,BMW,291100,2935257,10.08,🔴 어려움
2026-01-04 02:05,자동차,도요타,68300,719641,10.54,🔴 어려움
2026-01-04 02:05,자동차,기아,358300,4037540,11.27,🔴 어려움
2026-01-04 02:05,자동차,혼다,68400,814133,11.9,🔴 어려움
2026-01-04 02:05,자동차,폭스바겐,93400,1117918,11.97,🔴 어려움
2026-01-04 02:05,자동차,중고차,302900,4799469,15.85,🔴 어려움
2026-01-04 02:05,자동차,전기차,112300,2674430,23.82,🔴 어려움
2026-01-04 02:05,자동차,렌트카,84900,2689811,31.68,🔴 어려움
2026-01-04 02:05,자동차,SUV,60200,2257042,37.49,🔴 어려움
2026-01-04 02:05,자동차,타이어,91400,5198916,56.88,🔴 어려움
2026-01-04 02:05,자동차,자동차,141900,24241709,170.84,🔴 어려움
2026-01-04 02:06,건강/의료,비만도계산기,111100,4032,0.04,🟢 매우쉬움
2026-01-04 02:06,건강/의료,엘지화학,129490,14196,0.11,🟢 매우쉬움
2026-01-04 02:06,건강/의료,콘드로이친1200,73770,15473,0.21,🟢 매우쉬움
2026-01-04 02:06,건강/의료,알부민,391400,136080,0.35,🟢 매우쉬움
2026-01-04 02:06,건강/의료,미주신경성실신,46090,17936,0.39,🟢 매우쉬움
2026-01-04 02:06,건강/의료,위고비,201400,99079,0.49,🟢 매우쉬움
2026-01-04 02:06,건강/의료,노보노디스크,67500,48178,0.71,🟡 쉬움
2026-01-04 02:06,건강/의료,콘드로이친,123700,100750,0.81,🟡 쉬움
2026-01-04 02:06,건강/의료,췌장암초기증상,45970,42138,0.92,🟡 쉬움
2026-01-04 02:06,건강/의료,부천대,68100,65534,0.96,🟡 쉬움
2026-01-04 02:06,건강/의료,노로바이러스,146200,143632,0.98,🟡 쉬움
2026-01-04 02:06,건강/의료,왼쪽가슴통증,39320,40918,1.04,🟠 보통
2026-01-04 02:06,건강/의료,왼쪽옆구리통증,42400,55659,1.31,🟠 보통
2026-01-04 02:06,건강/의료,메니에르병,59930,85275,1.42,🟠 보통
2026-01-04 02:06,건강/의료,대장내시경전음식,51940,75101,1.45,🟠 보통
2026-01-04 02:06,건강/의료,이비인후과,571500,877694,1.54,🔴 어려움
2026-01-04 02:06,건강/의료,이석증,80100,126089,1.57,🔴 어려움
2026-01-04 02:06,건강/의료,강남인강,41300,68098,1.65,🔴 어려움
2026-01-04 02:06,건강/의료,저속노화,67000,117707,1.76,🔴 어려움
2026-01-04 02:06,건강/의료,대웅제약,74200,134020,1.81,🔴 어려움
